GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19113,"Linn, IA",9493985,9329411,10138281,11143251,11751484,11845930,13049697,12888734,13098611,13869362,14170928,14296953,13969641,14635105,15154896,15547181,15370084,15782274,15327482,14926296,15325670
19115,"Louisa, IA",549133,535708,541492,513699,462945,508512,535363,583377,584333,570910,523898,592107,586352,593045,587206,621493,607605,661017,720660,706937,854265
19117,"Lucas, IA",216503,225649,234248,256410,273357,265978,250926,259845,246864,246766,258004,264945,278140,270051,281356,283057,289892,292436,293431,295906,288814
19119,"Lyon, IA",410217,405244,432399,493607,502516,557872,463317,532205,479947,604342,657576,705207,735997,873685,849875,967156,1089798,1039100,1016328,948426,931666
19121,"Madison, IA",281287,297378,314081,347281,350439,359855,379796,372797,366380,349727,368317,357433,353168,345296,361521,381300,395153,381783,381111,374902,404262
19123,"Mahaska, IA",580373,580223,618001,703880,703890,751539,748317,779211,734916,692026,745525,786867,775278,743744,763306,776218,826627,906418,860713,795049,840073
19125,"Marion, IA",1280349,1261861,1296981,1410694,1505235,1522429,1570076,1495760,1368724,1369297,1413312,1521503,1455220,1476495,1513940,1546535,1733070,1799279,1942907,1918220,2085254
19127,"Marshall, IA",1611273,1585474,1601750,1702039,1665228,1712311,1778450,1744664,1655446,1657490,1675924,1705051,1680876,1645165,1689102,1636025,1649627,1727443,1715785,1743481,1775025
19129,"Mills, IA",338555,350220,358665,378102,371380,384434,366064,411566,463661,415427,415765,458389,458077,432609,424647,448003,471923,497921,553673,487386,511033
19131,"Mitchell, IA",338293,365127,337503,373485,375252,403594,407075,461747,431081,506401,508710,501880,581307,622117,620142,637280,606319,658822,666840,567921,566918
19133,"Monona, IA",260494,284880,293335,303586,276283,245794,278326,308487,378075,306584,299381,283923,302741,305425,341660,288730,310031,296954,311058,313324,334119
19135,"Monroe, IA",294343,285127,298530,327003,328992,346079,373355,416905,438803,423459,391210,364152,361844,348115,365606,355778,357318,382358,386143,375779,403641
19137,"Montgomery, IA",369113,391503,377138,419441,421084,438557,407191,415592,435682,398846,398970,402504,402613,376395,401270,389641,387751,391264,388981,373184,417989
19139,"Muscatine, IA",2240654,2374258,2373815,2446384,2436758,2522514,2517331,2435655,2192621,2147593,2141947,2208043,2233703,2383771,2477223,2464210,2504437,2476466,2398389,2365843,2435065
19141,"O'Brien, IA",505803,513870,558316,577240,590418,585476,565297,609910,590677,644611,694569,707513,733305,819630,818050,924345,958008,936027,924797,883886,870828
19143,"Osceola, IA",279057,284113,286685,333171,337150,470485,443986,403365,289384,343259,367509,367340,412671,474914,435877,400892,466643,472584,407141,353986,364181
19145,"Page, IA",479150,462617,485476,535751,538415,552571,526075,552622,582477,539886,525040,560344,569624,557398,554476,555190,559949,558595,572202,561079,590647
19147,"Palo Alto, IA",330168,330705,359293,400657,423687,548528,566335,521961,449779,442957,494570,512521,562633,603568,609107,573599,608019,631894,575526,493877,548512
19149,"Plymouth, IA",930724,965813,1045658,1140011,1120865,1147560,1171807,1218626,1215985,1249917,1186151,1214158,1231173,1266363,1271580,1371049,1405309,1440871,1433667,1338782,1409598
